"novel"
{
	"DOTA_VisualNovel_seasonal_quartero_Actor_Quartero"		"Четвертак"
	"DOTA_VisualNovel_seasonal_quartero_Heading_generic"		"Заголовок Четвертака"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-1_Quartero_0"		"Ласкаво просимо до «Цікавинок Четвертака»!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-2_Quartero_0"		"Четвертак Щедрий до ваших послуг!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-3_Quartero_0"		"Вітання, герою! Заходьте!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-4_Quartero_0"		"Єдина хитрість у тому… що НЕМАЄ жодної хитрості! Тож це одна суцільна хитрість!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-5_Quartero_0"		"Тут усе безцінне! Тобто безкоштовне!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-6_Quartero_0"		"Цікавинки Четвертака! Де безцінне не має цінника!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-7_Quartero_0"		"Моє прокляття — це ваш ріг достатку!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-8_Quartero_0"		"Мої скарби безцінні! Буквально!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-9_Quartero_0"		"Заходьте досередини!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-10_Quartero_0"		"Вітання в моїй скромній придорожній крамничці! Заходьте і роздивляйтеся!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-11_Quartero_0"		"Усе це може бути вашим!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-12_Quartero_0"		"Трагічна історія доступна за запитом! Чи навіть без нього!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-13_Quartero_0"		"Моя щедрість не знає меж!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-14_Quartero_0"		"О, герой! Саме той клієнт, якому неможливо відмовити!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-15_Quartero_0"		"Усі ці набори предметів… і жодного цінника в полі зору!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-16_Quartero_0"		"Здобич і скарби для королів і завойовників!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-17_Quartero_0"		"Моя щедрість не знає меж! Завдяки моторошному закляттю!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-18_Quartero_0"		"Моя щедрість безмежна! Подобається це мені чи ні!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-19_Quartero_0"		"Ласкаво просимо до «Цікавинок Четвертака»! Тут усе БЕЗКОШТОВНЕ, і я юридично зобов’язаний удавати, що щасливий від цього."
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-20_Quartero_0"		"Я — Четвертак! Запитайте мене про мою трагічну історію!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-21_Quartero_0"		"Моя трагічна історія додається безкоштовно до кожної купівлі!"
	"DOTA_VisualNovel_seasonal_fall_2025_Actor_Quartero"		"Четвертак"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-01"		"Знахар — Тато Ванґа"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-02"		"Мстива Душа — Прокльони Морріґан"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-03"		"Командувачка Легіону — Драконове діяння"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-04"		"Командувачка Легіону — Драконовий гнів"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward__title_0"		"Лялька Тата Ванґи"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_0"		"О, герой! Ласкаво просимо до «Цікавинок Четвертака»!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_1"		"Заходьте, заходьте просто сюди, не стійте на узбіччі дороги!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_2"		"Заходьте до моєї крамнички! На цей бік дороги!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_3"		"Мене звати Четвертак! Я власник цього закладу."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_4"		"Чи принаймні невеликої ділянки на узбіччі, яку я привласнив для цієї мети."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_5"		"Ось, дозвольте розгорнути кілька ковдр, щоби ви краще роздивилися мої безцінні скарби."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_6"		"Чи можу я вам щось запропонувати? Маю банку сардин, яку саме їв. Хочете?"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_7"		"Ні? Гаразд. Тоді перейдемо до справи!"
