"novel"
{
	"DOTA_VisualNovel_seasonal_quartero_Actor_Quartero"		"Quartero"
	"DOTA_VisualNovel_seasonal_quartero_Heading_generic"		"La rubrique de Quartero"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-1_Quartero_0"		"Bienvenue au cabinet de curiosités de Quartero !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-2_Quartero_0"		"Quartero le Dépossédé, à votre service !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-3_Quartero_0"		"Bienvenue, âme héroïque ! Approchez !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-4_Quartero_0"		"Le seul piège c'est... qu'il n'y a PAS de piège ! Est-ce que ça compte quand même comme un piège ?"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-5_Quartero_0"		"Ma collection n'a pas de prix... c'est pourquoi tout est gratuit !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-6_Quartero_0"		"Le cabinet de curiosités de Quartero, où l'inestimable ne coute rien !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-7_Quartero_0"		"Ma malédiction remplira votre vestiaire !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-8_Quartero_0"		"Mes trésors n'ont pas de prix ! Littéralement !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-9_Quartero_0"		"Venez, venez !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-10_Quartero_0"		"Bienvenue dans mon humble bric-à-brac en bordure de route ! Venez, prenez place sur les couvertures !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-11_Quartero_0"		"Imaginez un peu, tout cela pourrait bien vous appartenir !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-12_Quartero_0"		"Anecdotes tragiques disponibles sur demande ! Ou même sans demande !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-13_Quartero_0"		"Ma générosité ne connait pas de limites !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-14_Quartero_0"		"Ah, une âme héroïque ! Ma clientèle préférée !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-15_Quartero_0"		"Tous ces magnifiques ensembles... et pas le moindre prix en vue !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-16_Quartero_0"		"Trésors et butins dignes des têtes couronnées !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-17_Quartero_0"		"Ma générosité ne connait pas de limites ! Tel est l'ensorcèlement qui me tourmente."
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-18_Quartero_0"		"Ma générosité est sans limites, que je le veuille ou non !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-19_Quartero_0"		"Bienvenue au cabinet de curiosités de Quartero ! Ici, tout est GRATUIT et je suis légalement tenu de faire comme si ça m'enchantait."
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-20_Quartero_0"		"Je m'appelle Quartero ! Laissez-moi vous conter ma tragique épopée !"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-21_Quartero_0"		"Pour chaque objet acheté, une anecdote tragique offerte !"
	"DOTA_VisualNovel_seasonal_fall_2025_Actor_Quartero"		"Quartero"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-01"		"Witch Doctor – Papa Wanga"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-02"		"Vengeful Spirit – Malédictions de Morrigan"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-03"		"Legion Commander – Pacte de Drakon"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-04"		"Legion Commander – Courroux de Drakon"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward__title_0"		"Papa Wanga : poupée"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_0"		"Ah, une âme héroïque ! Bienvenue au cabinet de curiosités de Quartero !"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_1"		"Venez, venez, entrez donc ! Il fait meilleur à l'intérieur !"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_2"		"Entrez dans mon comptoir ! Par ici, de l'autre côté de la route !"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_3"		"Je m'appelle Quartero ! Je suis le propriétaire de cet établissement."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_4"		"Ou du moins, du petit bout de route que j'ai aménagé à cette fin."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_5"		"Permettez-moi de dérouler quelques couvertures pour mieux vous présenter mes trésors inestimables."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_6"		"Je peux vous offrir quelque chose ? J'étais justement en train de manger des sardines en boite, vous en voulez une ?"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_7"		"Non ? Soit. Parlons affaires !"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_8"		"Je ne devrais même pas faire ça, mais pour vous, je vais faire une exception."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_9"		"Vous voyez ce petit bonhomme ? Vous êtes la première personne à pousser la porte de ma boutique aujourd'hui, alors je vous en fais cadeau !"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head__title_0"		"Papa Wanga : masque"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_0"		"Pardonnez-moi, mais cet accoutrement n'est pas digne de vos exploits."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_1"		"Cette allure tient plus du vagabond sans-abri que du pourfendeur de démons."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_2"		"Heureusement pour vous, c'est là que j'interviens. Tenez, essayez ce masque vaudou."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_3"		"C'est un accessoire purement décoratif. Tant que vous ne prononcez pas de paroles vaudoues, bien entendu. Votre tête s'en trouverait toute ratatinée !"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_4"		"Voilà. Ne bougez plus. Laissez-moi voir ce que ça donne."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-head_Quartero_5"		"Oui, oui et oui ! C'est tout simplement... magnifique !"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt__title_0"		"Papa Wanga : ceinture"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt_Quartero_0"		"Pas de camelote ici, je vous le garantis !"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt_Quartero_1"		"Mes étals sont remplis d'articles inestimables que je mets de côté pour une clientèle exceptionnelle."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt_Quartero_2"		"Rois, conquérants, demi-dieux... bref, vos semblables !"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt_Quartero_3"		"Tenez, enfilez donc ce gigantesque baculum."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-belt_Quartero_4"		"Hum, oui. Oui, c'est bien ce que je pensais. Elle vous va à ravir !"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-back__title_0"		"Para Wanga : dossière"
